Day,Range,Chipping,Putting,Playing
1,40,50,0,0
2,0,0,0,120
3,30,0,0,0
4,40,40,40,0
5,30,45,45,90
6,30,0,60,210
7,60,75,0,0
8,35,45,60,0
9,40,40,40,0
10,30,45,45,90
11,30,0,60,210
12,60,40,35,0
13,0,0,0,240
14,0,0,0,240
15,0,0,0,240
16,0,0,60,240
17,50,80,60,0
18,70,60,75,0
19,0,0,0,240
20,45,15,60,210
21,30,0,60,0
22,60,0,0,240
23,0,0,0,240
24,60,15,15,0
25,50,30,45,0
26,0,0,0,240
27,35,45,50,0
28,45,15,0,0
29,0,0,45,240
30,35,40,45,0
31,0,0,0,300
32,0,0,0,660
33,0,0,0,300
34,50,75,15,0
35,45,30,30,0
36,0,0,0,240
37,0,0,0,210
38,0,0,0,240
39,0,0,40,240
40,45,30,30,0
41,0,0,0,240
42,60,50,20,0
43,45,60,30,0
44,0,0,0,300
45,30,30,45,120
46,45,90,90,0
47,0,0,0,240
48,0,0,0,240
49,45,30,30,0
50,0,0,0,240
51,60,60,60,0
52,0,0,0,300
53,0,0,0,240
54,0,0,0,240
55,0,0,0,240
56,30,0,30,0
57,0,0,0,120
58,40,60,45,0
59,0,0,30,240
60,45,60,120,0
61,0,0,60,240
62,30,0,60,0
63,0,60,0,240
64,60,0,45,240
